source,record_id,district,taluk,village,survey_number,owner_name,area_sqm,land_use,data_note
MUNICIPAL,MUN-ALUR-001,Davanagere,Davanagere,Alur,100,Owner 001 B,3454.27,Residential,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-002,Davanagere,Davanagere,Alur,101,Owner 002,1482.89,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-003,Davanagere,Davanagere,Alur,102,Owner 003,4274.78,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-004,Davanagere,Davanagere,Alur,103,Owner 004,3049.51,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-005,Davanagere,Davanagere,Alur,104,Owner 005,2826.25,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-006,Davanagere,Davanagere,Alur,105,Owner 006,3853.77,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-007,Davanagere,Davanagere,Alur,106,Owner 007,1850.41,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-008,Davanagere,Davanagere,Alur,107,Owner 008,1844.81,Residential,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-009,Davanagere,Davanagere,Alur,108,Owner 009,4737.14,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-010,Davanagere,Davanagere,Alur,109,Owner 010 B,2440.2,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-011,Davanagere,Davanagere,Alur,110,Owner 011,3078.91,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-012,Davanagere,Davanagere,Alur,111,Owner 012,2142.39,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-013,Davanagere,Davanagere,Alur,112,Owner 013,2540.02,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-014,Davanagere,Davanagere,Alur,112,Owner 014,2955.43,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-015,Davanagere,Davanagere,Alur,113,Owner 015,1744.37,Residential,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-016,Davanagere,Davanagere,Alur,113,Owner 016,3753.61,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-017,Davanagere,Davanagere,Alur,114,Owner 017,2786.08,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-018,Davanagere,Davanagere,Alur,114,Owner 018,4974.57,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-019,Davanagere,Davanagere,Alur,115,Owner 019 B,2558.79,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-020,Davanagere,Davanagere,Alur,115,Owner 020,3788.79,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-021,Davanagere,Davanagere,Alur,116,Owner 021,3383.88,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-022,Davanagere,Davanagere,Alur,117,Owner 022,4520.46,Residential,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-023,Davanagere,Davanagere,Alur,118,Owner 023,1627.91,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-024,Davanagere,Davanagere,Alur,118,Owner 024,1069.94,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-025,Davanagere,Davanagere,Alur,119,Owner 025,2527.59,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-026,Davanagere,Davanagere,Alur,119,Owner 026,1909.54,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-027,Davanagere,Davanagere,Alur,120,Owner 027,2122.9,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-028,Davanagere,Davanagere,Alur,120,Owner 028 B,3710.59,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
MUNICIPAL,MUN-ALUR-029,Davanagere,Davanagere,Alur,121,Owner 029,857.19,Residential,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
