source,record_id,district,taluk,village,survey_number,owner_name,area_sqm,land_use,data_note
REVENUE,REV-ALUR-001,Davanagere,Davanagere,Alur,100,Owner 001,1103.08,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-002,Davanagere,Davanagere,Alur,101,Owner 002,2752.64,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-003,Davanagere,Davanagere,Alur,102,Owner 003,4067.13,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-004,Davanagere,Davanagere,Alur,103,Owner 004,815.19,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-005,Davanagere,Davanagere,Alur,104,Owner 005,651.53,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-006,Davanagere,Davanagere,Alur,105,Owner 006,1537.15,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-007,Davanagere,Davanagere,Alur,106,Owner 007,4559.14,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-008,Davanagere,Davanagere,Alur,107,Owner 008,3433.1,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-009,Davanagere,Davanagere,Alur,108,Owner 009,3694.65,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-010,Davanagere,Davanagere,Alur,109,Owner 010,3542.59,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-011,Davanagere,Davanagere,Alur,110,Owner 011,4011.82,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-012,Davanagere,Davanagere,Alur,111,Owner 012,4353.57,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-013,Davanagere,Davanagere,Alur,112,Owner 013,2926.15,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-014,Davanagere,Davanagere,Alur,112,Owner 014,4807.12,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-015,Davanagere,Davanagere,Alur,113,Owner 015,4559.21,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-016,Davanagere,Davanagere,Alur,113,Owner 016,3849.73,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-017,Davanagere,Davanagere,Alur,114,Owner 017,4263.1,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-018,Davanagere,Davanagere,Alur,114,Owner 018,916.08,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-019,Davanagere,Davanagere,Alur,115,Owner 019,4305.42,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-020,Davanagere,Davanagere,Alur,115,Owner 020,4610.52,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-021,Davanagere,Davanagere,Alur,116,Owner 021,2767.81,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-022,Davanagere,Davanagere,Alur,117,Owner 022,3445.42,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-023,Davanagere,Davanagere,Alur,118,Owner 023,1503.39,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-024,Davanagere,Davanagere,Alur,118,Owner 024,2030.04,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-025,Davanagere,Davanagere,Alur,119,Owner 025,3603.7,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-026,Davanagere,Davanagere,Alur,119,Owner 026,1491.26,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-027,Davanagere,Davanagere,Alur,120,Owner 027,3466.97,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-028,Davanagere,Davanagere,Alur,120,Owner 028,1298.8,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-029,Davanagere,Davanagere,Alur,121,Owner 029,2006.08,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-030,Davanagere,Davanagere,Alur,122,Owner 030,2321.91,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-031,Davanagere,Davanagere,Alur,123,Owner 031,979.07,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-032,Davanagere,Davanagere,Alur,123,Owner 032,2610.41,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-033,Davanagere,Davanagere,Alur,124,Owner 033,3397.58,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-034,Davanagere,Davanagere,Alur,124,Owner 034,4427.6,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-035,Davanagere,Davanagere,Alur,125,Owner 035,4416.88,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-036,Davanagere,Davanagere,Alur,126,Owner 036,4316.57,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-037,Davanagere,Davanagere,Alur,127,Owner 037,4058.47,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-038,Davanagere,Davanagere,Alur,127,Owner 038,2326.35,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-039,Davanagere,Davanagere,Alur,128,Owner 039,696.23,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-040,Davanagere,Davanagere,Alur,129,Owner 040,3543.68,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-041,Davanagere,Davanagere,Alur,148,Owner 041,4120.8,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-042,Davanagere,Davanagere,Alur,150,Owner 042,3475.2,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-043,Davanagere,Davanagere,Alur,151,Owner 043,2562.38,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-044,Davanagere,Davanagere,Alur,152,Owner 044,1152.43,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-045,Davanagere,Davanagere,Alur,153,Owner 045,1070.47,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-046,Davanagere,Davanagere,Alur,154,Owner 046,2762.22,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-047,Davanagere,Davanagere,Alur,155,Owner 047,1011.38,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
REVENUE,REV-ALUR-048,Davanagere,Davanagere,Alur,156,Owner 048,2872.41,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
