source,record_id,district,taluk,village,survey_number,owner_name,area_sqm,land_use,data_note
SURVEY,SUR-ALUR-001,Davanagere,Davanagere,Alur,100,Owner 001 A,4901.39,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-002,Davanagere,Davanagere,Alur,101,Owner 002,2595.32,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-003,Davanagere,Davanagere,Alur,102,Owner 003,2603.99,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-004,Davanagere,Davanagere,Alur,103,Owner 004,2162.9,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-005,Davanagere,Davanagere,Alur,104,Owner 005,3517.99,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-006,Davanagere,Davanagere,Alur,105,Owner 006,2568.99,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-007,Davanagere,Davanagere,Alur,106,Owner 007,2811.89,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-008,Davanagere,Davanagere,Alur,107,Owner 008,2261.55,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-009,Davanagere,Davanagere,Alur,108,Owner 009,2708.94,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-010,Davanagere,Davanagere,Alur,109,Owner 010,4468.77,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-011,Davanagere,Davanagere,Alur,110,Owner 011,638.99,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-012,Davanagere,Davanagere,Alur,111,Owner 012 A,1339.43,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-013,Davanagere,Davanagere,Alur,112,Owner 013,4935.22,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-014,Davanagere,Davanagere,Alur,112,Owner 014,3474.23,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-015,Davanagere,Davanagere,Alur,113,Owner 015,1555.8,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-016,Davanagere,Davanagere,Alur,113,Owner 016,2123.55,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-017,Davanagere,Davanagere,Alur,114,Owner 017,4235.82,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-018,Davanagere,Davanagere,Alur,114,Owner 018,1532.65,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-019,Davanagere,Davanagere,Alur,115,Owner 019,1374.15,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-020,Davanagere,Davanagere,Alur,115,Owner 020,3951.18,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-021,Davanagere,Davanagere,Alur,116,Owner 021,1488.81,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-022,Davanagere,Davanagere,Alur,117,Owner 022,4735.1,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-023,Davanagere,Davanagere,Alur,118,Owner 023 A,2234.06,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-024,Davanagere,Davanagere,Alur,118,Owner 024,2570.46,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-025,Davanagere,Davanagere,Alur,119,Owner 025,885.71,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-026,Davanagere,Davanagere,Alur,119,Owner 026,3088.66,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-027,Davanagere,Davanagere,Alur,120,Owner 027,2218.64,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-028,Davanagere,Davanagere,Alur,120,Owner 028,1981.59,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-029,Davanagere,Davanagere,Alur,121,Owner 029,2121.64,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-030,Davanagere,Davanagere,Alur,122,Owner 030,908.38,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-031,Davanagere,Davanagere,Alur,123,Owner 031,1419.07,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-032,Davanagere,Davanagere,Alur,123,Owner 032,3424.02,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-033,Davanagere,Davanagere,Alur,124,Owner 033,2714.35,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-034,Davanagere,Davanagere,Alur,124,Owner 034 A,4258.34,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-035,Davanagere,Davanagere,Alur,125,Owner 035,2383.28,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-036,Davanagere,Davanagere,Alur,126,Owner 036,2607.57,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-037,Davanagere,Davanagere,Alur,127,Owner 037,695.29,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-038,Davanagere,Davanagere,Alur,127,Owner 038,4396.0,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-039,Davanagere,Davanagere,Alur,128,Owner 039,3481.17,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-040,Davanagere,Davanagere,Alur,129,Owner 040,2776.09,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-041,Davanagere,Davanagere,Alur,148,Owner 041,2773.78,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-042,Davanagere,Davanagere,Alur,150,Owner 042,3670.66,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-043,Davanagere,Davanagere,Alur,151,Owner 043,3334.89,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-044,Davanagere,Davanagere,Alur,152,Owner 044,3861.1,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-045,Davanagere,Davanagere,Alur,153,Owner 045 A,4461.26,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-046,Davanagere,Davanagere,Alur,154,Owner 046,3996.25,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-047,Davanagere,Davanagere,Alur,155,Owner 047,1380.92,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-048,Davanagere,Davanagere,Alur,156,Owner 048,1144.26,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-049,Davanagere,Davanagere,Alur,156,Owner 049,4403.72,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-050,Davanagere,Davanagere,Alur,157,Owner 050,4932.88,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-051,Davanagere,Davanagere,Alur,157,Owner 051,2984.62,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-052,Davanagere,Davanagere,Alur,158,Owner 052,1345.96,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-053,Davanagere,Davanagere,Alur,158,Owner 053,4941.32,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-054,Davanagere,Davanagere,Alur,159,Owner 054,3596.56,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-055,Davanagere,Davanagere,Alur,160,Owner 055,4858.44,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-056,Davanagere,Davanagere,Alur,161,Owner 056 A,649.35,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-057,Davanagere,Davanagere,Alur,162,Owner 057,3422.06,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-058,Davanagere,Davanagere,Alur,163,Owner 058,3960.81,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-059,Davanagere,Davanagere,Alur,164,Owner 059,3466.1,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-060,Davanagere,Davanagere,Alur,165,Owner 060,2617.76,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-061,Davanagere,Davanagere,Alur,166,Owner 061,2832.46,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-062,Davanagere,Davanagere,Alur,167,Owner 062,4663.18,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-063,Davanagere,Davanagere,Alur,168,Owner 063,2359.72,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-064,Davanagere,Davanagere,Alur,168,Owner 064,3267.28,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-065,Davanagere,Davanagere,Alur,169,Owner 065,1850.35,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-066,Davanagere,Davanagere,Alur,169,Owner 066,604.78,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-067,Davanagere,Davanagere,Alur,170,Owner 067 A,1685.3,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
SURVEY,SUR-ALUR-068,Davanagere,Davanagere,Alur,171,Owner 068,4021.82,Agricultural,Synthetic demonstration attributes; geometry and LRI location identifiers retained from Karnataka LRI source.
